test_number,avg_lat_ms,tests,devices,centroid_lat,centroid_lon,city,avg_d_speed_mbps,avg_u_speed_mbps
38,72,7,2,31.34660014,30.71502686,Disūq,7.593,0.37
39,22,1,1,31.34190866,30.71502686,Disūq,5.512,1.548
40,6,1,1,31.32783282,30.68756104,Disūq,51.966,14.25
41,40,1,1,31.32783282,30.70404053,Disūq,2.405,0.769
42,28,1,1,31.31844777,30.70953369,Disūq,1.273,0.989
43,19,2,1,31.32783282,30.73699951,Disūq,5.111,0.578
44,52,1,1,31.31844777,30.74798584,Disūq,2.165,0.406
45,89,4,1,31.31844777,30.753479,Disūq,10.477,3.262
46,91,1,1,31.31844777,30.75897217,Disūq,1.603,0.886
47,52,2,1,31.31375488,30.68756104,Disūq,7.612,0.259
48,28,1,1,31.29967484,30.70953369,Disūq,4.452,0.787
49,12,10,7,31.29028698,30.67657471,Disūq,18.374,2.642
50,23,4,1,31.29028698,30.68206787,Disūq,11.103,0.844
51,240,6,1,31.28089818,,Disūq,10.919,0.677
52,187,3,3,31.28559269,30.68756104,Disūq,10.147,0.598
53,107,6,2,31.28089818,30.68756104,Disūq,7.097,2.579
54,43,21,4,31.28089818,30.6930542,Disūq,4.292,0.761
55,10,3,1,31.29498103,30.70404053,Disūq,20.638,2.095
56,7,2,1,31.29028698,30.70404053,Disūq,3.881,2.822
57,269,4,1,31.31375488,30.73699951,Disūq,4.571,0.834
58,28,1,1,31.30906177,30.73699951,Disūq,7.211,0.155
59,107,14,5,31.31375488,30.74249268,Disūq,8.774,2.512
60,280,34,4,31.30906177,30.74249268,Disūq,9.046,0.719
61,45,2,2,31.31375488,30.75897217,Disūq,1.077,0.365
62,15,19,1,31.29967484,30.74798584,Disūq,21.176,2.57
63,9,3,2,31.29028698,30.75897217,Disūq,14.851,2.162
64,20,1,1,31.28559269,30.75897217,Disūq,9.526,11.584
65,15,5,2,31.28089818,30.75897217,Disūq,9.142,1.691
66,120,2,2,31.27150844,30.58868408,Disūq,6.598,1.99
67,29,8,1,31.26211777,30.59417725,Disūq,3.252,0.398
68,20,6,3,31.25272617,30.60516357,Disūq,11.574,2.103
69,10,6,1,31.24803002,30.62164307,Disūq,25.343,4.608
70,35,21,8,31.27620343,30.63812256,Disūq,9.685,0.883
71,19,5,1,31.27150844,30.63262939,Disūq,13.515,0.669
72,25,1,1,31.27620343,30.64361572,Disūq,2.229,0.075
73,26,2,1,31.27620343,30.64910889,Disūq,4.045,0.445
74,113,3,1,31.27620343,30.65460205,Disūq,0.902,0.308
75,16,3,2,31.22924307,30.58868408,Disūq,13.083,2.873
76,10,2,1,31.23863701,30.62164307,Disūq,24.315,1.456
77,23,11,3,31.22454575,30.62164307,Disūq,10.685,1.268
78,51,1,1,31.2198482,30.61065674,Disūq,1.835,0.388
79,11,1,1,31.21515041,,Disūq,24.886,4.865
80,146,2,1,31.23394016,30.64910889,Disūq,2.731,2.589
81,148,1,1,31.22924307,30.64361572,Disūq,1.366,0.142
82,99,1,1,31.22924307,30.64910889,Disūq,4.205,0.305
83,8,1,1,31.23863701,30.65460205,Disūq,7.493,0.751
84,54,30,4,31.23394016,,Disūq,4.521,1.937
85,7,2,1,31.2198482,30.67108154,Disūq,30.174,3.599
86,27,1,1,31.26681322,30.67657471,Disūq,8.148,1.389
87,7,3,2,31.26681322,30.68206787,Disūq,32.392,11.884
88,5,4,3,31.26211777,30.67657471,Disūq,28.568,4.304
89,91,14,3,31.26211777,30.68206787,Disūq,12.695,0.748
90,28,5,3,31.26681322,30.68756104,Disūq,11.868,1.076
91,40,59,6,31.27150844,30.71502686,Disūq,8.449,1.817
92,15,4,2,31.25272617,30.69854736,Disūq,15.485,2.633
93,20,2,1,31.25272617,30.70953369,Disūq,1.005,0.774
94,25,9,1,31.25272617,30.71502686,Disūq,10.455,0.86
95,21,3,1,31.24803002,,Disūq,5.164,0.866
96,123,3,1,31.27150844,30.72601318,Disūq,4.134,0.612
97,15,2,1,31.27620343,30.74798584,Disūq,5.72,0.682
98,25,4,2,31.27620343,30.753479,Disūq,6.31,0.908
99,168,37,2,31.26211777,30.753479,Disūq,4.697,8.285
100,26,1,1,31.25272617,30.72052002,Disūq,4.353,11.01
101,18,1,1,31.25742209,30.75897217,Disūq,6.054,7.456
102,19,1,1,31.25272617,30.753479,Disūq,6.238,7.058
103,28,1,1,31.24803002,,Disūq,6.067,8.035
104,80,1,1,31.22924307,30.71502686,Disūq,0.775,0.121
105,16,17,8,31.2198482,30.67657471,Disūq,18.399,2.424
106,37,39,9,31.2198482,30.68206787,Disūq,10.614,1.472
107,31,23,3,31.21515041,30.68206787,Disūq,12.303,2.068
108,10,1,1,31.21045239,30.6930542,Disūq,9.127,1.324
109,23,10,5,31.21515041,30.69854736,Disūq,23.503,4.279
110,9,11,2,31.21515041,30.70404053,Disūq,23.48,3.887
111,27,1,1,31.21045239,30.70404053,Disūq,7.441,0.814
112,9,2,2,31.21045239,30.70953369,Disūq,10.521,0.576
113,14,7,4,31.23394016,30.74249268,Disūq,17.025,3.506
114,17,5,1,31.23863701,30.753479,Disūq,3.65,2.864
115,18,183,2,31.23394016,30.75897217,Disūq,8.372,2.383
116,64,1,1,31.21515041,30.72052002,Disūq,7.872,0.5
117,222,4,1,31.21045239,30.72052002,Disūq,0.862,0.713
118,457,2,1,31.35129138,30.7699585,Disūq,0.395,0.169
119,18,1,1,31.35129138,30.80291748,Disūq,2.902,0.505
120,19,13,3,31.34660014,30.80291748,Disūq,23.507,3.077
121,10,6,1,31.34190866,30.79742432,Disūq,17.395,3.294
122,39,66,11,31.34190866,30.80291748,Disūq,16.872,2.117
123,19,11,8,31.33721695,30.80291748,Disūq,17.804,2.538
124,19,4,1,31.31844777,30.77545166,Disūq,31.743,0.718
125,6,1,1,31.332525,30.78643799,Disūq,24.956,4.818
126,18,10,3,31.332525,30.80291748,Disūq,12.416,1.997
127,16,4,1,31.31844777,30.80291748,Disūq,28.338,2.71
128,7,1,1,31.35129138,30.80841064,Disūq,10.906,3.935
129,31,5,2,31.34660014,30.80841064,Disūq,8.328,0.819
130,31,34,6,31.34190866,30.80841064,Disūq,11.419,1.488
131,19,9,5,31.33721695,30.80841064,Disūq,13.582,2.542
132,22,13,1,31.332525,30.80841064,Disūq,17.135,2.297
133,25,1,1,31.32783282,30.81939697,Kafr ash Shaykh,27.852,2.652
134,25,4,1,31.31844777,30.8303833,Kafr ash Shaykh,6.642,0.67
135,39,2,2,31.31375488,30.77545166,Disūq,4.442,1.604
136,7,1,1,31.31375488,30.78094482,Disūq,28.192,4.798
137,55,1,1,31.30436842,30.77545166,Disūq,0.512,0.084
138,36,1,1,31.30906177,30.79193115,Disūq,6.567,0.463
139,8,1,1,31.30436842,30.79193115,Disūq,18.821,0.924
140,16,8,2,31.29967484,30.79193115,Disūq,15.13,1.619
141,11,10,3,31.30436842,30.79742432,Disūq,13.161,1.174
142,29,32,5,31.29028698,30.76446533,Disūq,15.284,1.757
143,20,23,3,31.28559269,30.76446533,Disūq,10.896,1.596
144,19,5,3,31.29498103,30.79193115,Disūq,14.447,1.409
145,40,1,1,31.29028698,30.79193115,Disūq,1.785,0.261
146,37,3,2,31.29028698,30.79742432,Disūq,11.008,0.883
147,22,1,1,31.28559269,30.79193115,Disūq,14.276,1.686
148,20,1,1,31.28089818,30.79193115,Disūq,42.943,33.612
149,30,1,1,31.29967484,30.82489014,Kafr ash Shaykh,12.18,0.561
150,10,1,1,31.29967484,30.8303833,Kafr ash Shaykh,4.826,5.158
151,40,4,1,31.28559269,30.81939697,Kafr ash Shaykh,1.507,0.728
152,20,3,1,31.28559269,30.82489014,Kafr ash Shaykh,10.384,0.79
153,264,4,1,31.28089818,30.82489014,Kafr ash Shaykh,10.156,0.467
154,92,6,1,31.29028698,30.8303833,Kafr ash Shaykh,3.045,4.245
155,19,1,1,31.28559269,30.8303833,Kafr ash Shaykh,10.967,1.069
156,22,7,1,31.33721695,30.87432861,Kafr ash Shaykh,16.434,1.803
157,36,16,1,31.332525,30.85235596,Kafr ash Shaykh,0.582,0.442
158,23,1,1,31.332525,30.86883545,Kafr ash Shaykh,15.092,1.363
159,57,5,2,31.32783282,30.86334229,Kafr ash Shaykh,2.588,1.442
160,22,6,3,31.332525,30.87432861,Kafr ash Shaykh,19.361,2.329
161,50,13,2,31.32783282,30.87432861,Kafr ash Shaykh,8.037,1.143
162,13,1,1,31.332525,30.89080811,Kafr ash Shaykh,16.405,4.17
163,17,1,1,31.35129138,30.9072876,Kafr ash Shaykh,8.144,1.681
164,23,28,1,31.34190866,30.90179443,Kafr ash Shaykh,7.404,2.878
165,16,12,2,31.34190866,30.91278076,Kafr ash Shaykh,17.608,4.162
166,20,67,1,31.33721695,30.91278076,Kafr ash Shaykh,12.24,3.938
167,9,1,1,31.32783282,30.91278076,Kafr ash Shaykh,3.087,2.326
168,9,2,1,31.32314041,30.9072876,Kafr ash Shaykh,15.55,3.809
169,9,18,3,31.32314041,30.91278076,Kafr ash Shaykh,32.993,6.918
170,22,2,1,31.32783282,30.92376709,Kafr ash Shaykh,12.691,2.862
171,143,1,1,31.332525,30.92926025,Kafr ash Shaykh,3.664,3.753
172,16,1,1,31.32314041,30.91827393,Kafr ash Shaykh,7.806,2.3
173,7,1,1,31.31844777,30.93475342,Kafr ash Shaykh,14.325,0.89
174,23,3,2,31.30436842,30.85784912,Kafr ash Shaykh,4.563,1.794
175,25,2,2,31.29967484,30.85235596,Kafr ash Shaykh,3.722,0.568
176,16,3,1,31.30906177,30.88531494,Kafr ash Shaykh,24.566,3.981
177,7,9,1,31.30436842,30.87982178,Kafr ash Shaykh,25.517,3.188
178,20,24,2,31.30436842,30.88531494,Kafr ash Shaykh,13.166,1.377
179,22,2,1,31.29498103,30.86334229,Kafr ash Shaykh,9.3,3.643
180,27,1,1,31.28559269,30.89080811,Kafr ash Shaykh,11.904,0.242
181,24,3,1,31.28089818,30.89080811,Kafr ash Shaykh,7.489,0.434
182,17,1,1,31.31375488,30.89630127,Kafr ash Shaykh,17.257,0.827
183,40,103,2,31.28089818,30.90179443,Kafr ash Shaykh,5.154,1.067
184,17,1,1,31.29498103,30.93475342,Kafr ash Shaykh,27.479,4.641
185,33,39,4,31.27620343,30.7699585,Disūq,10.874,0.881
186,12,4,2,31.27620343,30.77545166,Disūq,9.658,2.678
187,24,9,3,31.27620343,30.78094482,Disūq,18.353,1.853
188,16,59,22,31.27150844,30.78094482,Disūq,19.306,2.985
189,18,6,1,31.26211777,30.76446533,Disūq,7.169,1.524
190,18,12,6,31.26681322,30.78094482,Disūq,12.879,1.782
191,20,14,4,31.27620343,30.78643799,Disūq,15.81,2.012
192,6,1,1,31.27620343,30.79193115,Disūq,17.811,0.461
193,40,113,21,31.27150844,30.78643799,Disūq,14.728,5.018
194,19,67,12,31.27150844,30.79193115,Disūq,17.332,2.214
195,15,14,3,31.27150844,30.79742432,Disūq,11.378,1.411
196,10,8,4,31.27150844,30.80291748,Disūq,13.173,3.335
197,15,20,7,31.26681322,30.78643799,Disūq,22.873,6.248
198,12,5,3,31.26681322,30.79193115,Disūq,15.448,2.974
199,12,7,2,31.26681322,30.80291748,Disūq,35.115,12.302
200,9,1,1,31.24803002,30.7699585,Disūq,11.017,3.017
201,12,3,1,31.24803002,30.78094482,Disūq,17.204,1.591
202,25,2,1,31.25742209,30.78643799,Disūq,10.229,1.188
203,11,4,3,31.25272617,30.79193115,Disūq,18.512,3.714
204,28,1,1,31.27150844,30.81939697,Kafr ash Shaykh,5.142,0.708
205,30,1,1,31.26681322,30.80841064,Kafr ash Shaykh,3.478,0.631
206,35,3,1,31.26211777,30.80841064,Kafr ash Shaykh,5.35,0.438
207,83,11,1,31.26211777,30.81390381,Kafr ash Shaykh,2.217,0.432
208,15,3,3,31.26681322,30.81939697,Kafr ash Shaykh,18.8,2.63
209,16,5,2,31.26681322,30.82489014,Kafr ash Shaykh,7.323,3.469
210,15,6,2,31.26211777,30.81939697,Kafr ash Shaykh,10.372,2.5
211,9,1,1,31.27620343,30.84686279,Kafr ash Shaykh,11.297,2.479
212,102,8,2,31.26211777,30.83587646,Kafr ash Shaykh,5.04,1.269
213,44,3,2,31.26211777,30.84136963,Kafr ash Shaykh,3.292,0.571
214,249,1,1,31.25742209,30.81390381,Kafr ash Shaykh,32.081,1.741
215,20,1,1,31.25272617,30.81390381,Kafr ash Shaykh,5.972,0.745
216,9,3,3,31.25742209,30.81939697,Kafr ash Shaykh,21.65,3.27
217,30,1,1,31.25272617,30.82489014,Kafr ash Shaykh,15.717,0.656
218,23,6,3,31.25272617,30.84686279,Kafr ash Shaykh,9.087,1.245
219,1498,1,1,31.24803002,30.83587646,Kafr ash Shaykh,3.067,0.443
220,9,2,1,31.24333363,30.83587646,Kafr ash Shaykh,10.5,0.637
221,15,3,2,31.24333363,30.84136963,Kafr ash Shaykh,29.056,4.727
222,22,2,1,31.23863701,30.76446533,Disūq,6.36,10.202
223,195,3,1,31.21515041,30.7699585,Disūq,13.532,0.497
224,29,2,1,31.21045239,30.76446533,Disūq,7.694,0.713
225,21,7,2,31.21045239,30.7699585,Disūq,4.7,1.67
226,23,2,2,31.20575414,30.7699585,Disūq,12.872,1.546
227,13,4,2,31.21045239,30.77545166,Disūq,10.716,3.154
228,37,6,1,31.21045239,30.78094482,Disūq,1.19,0.129
229,6,1,1,31.20575414,30.77545166,Disūq,32.89,3.514
230,11,1,1,31.22924307,30.81939697,Kafr ash Shaykh,12.147,0.775
231,29,25,3,31.22454575,30.81939697,Kafr ash Shaykh,13.404,0.841
232,16,2,1,31.23863701,30.83587646,Kafr ash Shaykh,11.848,0.784
233,20,10,2,31.21045239,30.83587646,Kafr ash Shaykh,6.762,1.275
234,20,5,2,31.20575414,30.83587646,Kafr ash Shaykh,10.088,1.464
235,25,2,1,31.20575414,30.84686279,Kafr ash Shaykh,11.743,0.963
236,10,5,1,31.26681322,30.86883545,Kafr ash Shaykh,15.676,1.915
237,368,2,1,31.26211777,30.86334229,Kafr ash Shaykh,15.012,0.562
238,24,1,1,31.26211777,30.86883545,Kafr ash Shaykh,6.465,0.587
239,25,2,1,31.27150844,30.87432861,Kafr ash Shaykh,10.984,0.679
240,24,1,1,31.27150844,30.87982178,Kafr ash Shaykh,5.54,0.694
241,25,67,1,31.26681322,30.87432861,Kafr ash Shaykh,15.557,1.226
242,36,44,9,31.26211777,30.87432861,Kafr ash Shaykh,8.743,1.315
243,140,6,1,31.25272617,30.85235596,Kafr ash Shaykh,4.27,0.71
244,25,9,1,31.25272617,30.85784912,Kafr ash Shaykh,6.072,1.227
245,55,1,1,31.24333363,30.85784912,Kafr ash Shaykh,0.445,0.123
246,26,1,1,31.24333363,30.89080811,Kafr ash Shaykh,11.397,0.172
247,21,1,1,31.27620343,30.89630127,Kafr ash Shaykh,9.007,1.647
248,25,1,1,31.27150844,30.89630127,Kafr ash Shaykh,10.51,0.25
249,58,2,1,31.26681322,30.89630127,Kafr ash Shaykh,10.54,0.413
250,75,9,1,31.26681322,30.90179443,Kafr ash Shaykh,9.218,0.305
251,26,1,1,31.26211777,30.89630127,Kafr ash Shaykh,10.636,0.408
252,27,3,1,31.26211777,30.90179443,Kafr ash Shaykh,11.729,0.448
253,26,2,1,31.26681322,30.9072876,Kafr ash Shaykh,10.649,0.472
254,25,12,1,31.26211777,30.9072876,Kafr ash Shaykh,9.682,0.383
255,7,1,1,31.27620343,30.93475342,Kafr ash Shaykh,22.667,3.834
256,7,1,1,31.26211777,30.91827393,Kafr ash Shaykh,22.71,2.319
257,22,1,1,31.26211777,30.92376709,Kafr ash Shaykh,7.517,0.716
258,94,3,1,31.26211777,30.92926025,Kafr ash Shaykh,5.56,2.113
259,26,1,1,31.25742209,30.89630127,Kafr ash Shaykh,10.061,0.146
260,74,1,1,31.25742209,30.90179443,Kafr ash Shaykh,1.137,0.504
261,26,2,1,31.25272617,30.89630127,Kafr ash Shaykh,10.464,0.45
262,41,1,1,31.25272617,30.90179443,Kafr ash Shaykh,11.298,0.547
263,25,2,1,31.25742209,30.9072876,Kafr ash Shaykh,8.706,0.356
264,21,3,2,31.25742209,30.91278076,Kafr ash Shaykh,11.872,0.629
265,27,1,1,31.25272617,30.91278076,Kafr ash Shaykh,8.849,0.463
266,40,1,1,31.24803002,30.89630127,Kafr ash Shaykh,7.371,0.549
267,23,2,1,31.24803002,30.90179443,Kafr ash Shaykh,4.84,0.725
268,24,1,1,31.24333363,30.89630127,Kafr ash Shaykh,9.721,0.352
269,26,1,1,31.24333363,30.90179443,Kafr ash Shaykh,10.09,0.12
270,21,13,2,31.24803002,30.9072876,Kafr ash Shaykh,5.685,2.196
271,77,1,1,31.24333363,30.91278076,Kafr ash Shaykh,4.064,0.337
272,8,5,1,31.23394016,30.86883545,Kafr ash Shaykh,34.396,14.159
273,27,3,3,31.23394016,,Kafr ash Shaykh,10.556,2.104
274,30,4,1,31.23394016,30.89080811,Kafr ash Shaykh,7.597,0.269
275,10,5,1,31.22454575,30.88531494,Kafr ash Shaykh,16.722,2.359
276,24,1,1,31.21045239,30.85784912,Kafr ash Shaykh,14.536,0.743
277,23,1,1,31.20575414,30.86334229,Kafr ash Shaykh,14.304,0.706
278,12,7,2,31.2198482,,Kafr ash Shaykh,22.776,6.508
279,6,1,1,31.2198482,30.88531494,Kafr ash Shaykh,15.465,4.617
280,7,2,1,31.21515041,30.89080811,Kafr ash Shaykh,4.003,2.956
281,75,26,7,31.23863701,30.89630127,Kafr ash Shaykh,7.041,0.564
282,9,1,1,31.22924307,,Kafr ash Shaykh,1.945,0.399
283,25,2,2,31.23863701,30.93475342,Kafr ash Shaykh,11.001,2.889
284,57,5,1,31.23394016,30.93475342,Kafr ash Shaykh,4.779,1.502
285,16,1,1,31.21515041,,Kafr ash Shaykh,0.83,0.43
286,16,14,5,31.20575414,30.91278076,Kafr ash Shaykh,15.596,2.217
287,8,4,1,31.21045239,30.91827393,Kafr ash Shaykh,17.197,1.741
288,66,3,2,31.21045239,30.92376709,Kafr ash Shaykh,8.15,5.484
289,6,1,1,31.20575414,,Kafr ash Shaykh,8.31,3.976
290,11,11,3,31.20105565,30.58868408,Disūq,24.426,2.936
291,6,1,1,31.19635693,30.58868408,Disūq,26.424,4.303
292,100,5,3,31.18695879,30.59417725,Disūq,11.416,1.102
293,39,59,8,31.18225937,30.59417725,Disūq,8.92,2.274
294,23,3,2,31.17755971,30.59417725,Disūq,25.808,2.35
295,18,20,5,31.18225937,,Disūq,26.874,8.117
296,7,3,1,31.16815971,30.59967041,Disūq,29.942,14.851
297,7,1,1,31.18225937,30.62713623,Disūq,21.691,3.764
298,33,33,3,31.17755971,,Disūq,24.637,3.414
299,6,1,1,31.19635693,30.64910889,Disūq,31.981,4.774
300,99,1,1,31.19635693,30.65460205,Disūq,1.171,1.884
301,6,1,1,31.18225937,30.63262939,Disūq,12.505,0.432
302,6,18,2,31.17755971,30.64361572,Disūq,22.115,10.955
303,35,1,1,31.17755971,30.64910889,Disūq,5.27,0.74
304,13,1,1,31.16345935,,Disūq,6.269,0.823
305,118,10,2,31.15405795,30.61065674,Disūq,2.988,0.555
306,18,22,3,31.15405795,30.62164307,Disūq,17.807,2.461
307,35,5,2,31.15405795,30.62713623,Disūq,5.809,1.702
308,6,2,1,31.14465561,,Disūq,29.138,3.31
309,157,3,1,31.13055035,30.58868408,Ar Raḩmānīyah,0.745,0.106
310,21,30,9,31.14465561,30.61065674,Disūq,14.525,1.88
311,21,13,2,31.14465561,30.6161499,Disūq,11.885,1.697
312,51,1,1,31.13995409,30.61065674,Disūq,2.376,0.523
313,105,16,2,31.13995409,30.62164307,Disūq,3.999,0.467
314,47,16,3,31.13525234,30.6161499,Disūq,4.151,1.025
315,35,11,4,31.13525234,30.62164307,Disūq,4.225,2.172
316,30,33,2,31.15875877,30.64361572,Disūq,10.243,0.673
317,73,1,1,31.16345935,30.66558838,Disūq,1.392,2.988
318,20,11,3,31.13995409,30.63262939,Disūq,27.057,4.34
319,15,3,3,31.13995409,30.63812256,Disūq,29.308,17.611
320,7,2,1,31.14465561,30.64361572,Disūq,37.487,4.678
321,14,15,2,31.14465561,30.64910889,Disūq,17.067,2.546
322,54,8,5,31.13995409,30.64361572,Disūq,16.424,1.468
323,13,28,16,31.13995409,30.64910889,Disūq,23.261,5.871
324,21,101,23,31.13525234,30.63812256,Disūq,18.045,3.639
325,27,11,7,31.13055035,30.63812256,Disūq,19.776,2.482
326,15,94,36,31.13525234,30.64361572,Disūq,44.369,20.478
327,19,65,23,31.13525234,30.64910889,Disūq,16.953,3.346
328,20,157,53,31.13055035,30.64361572,Disūq,16.957,2.968
329,17,97,21,31.13055035,,Disūq,19.168,3.186
330,10,4,3,31.14465561,30.65460205,Disūq,28.253,4.319
331,21,344,26,31.13995409,30.65460205,Disūq,23.201,8.211
332,9,12,3,31.13995409,30.66009521,Disūq,27.439,2.413
333,14,1,1,31.14465561,30.66558838,Disūq,34.144,4.687
334,39,1,1,31.13995409,30.66558838,Disūq,17.576,0.472
335,30,78,16,31.13525234,30.65460205,Disūq,20.002,3.549
336,16,24,7,31.13055035,30.65460205,Disūq,36.399,15.176
337,293,22,1,31.20105565,30.67657471,Disūq,0.889,0.29
338,71,57,3,31.19635693,30.68756104,Disūq,3.796,2.422
339,63,9,1,31.19635693,30.69854736,Disūq,4.525,5.105
340,38,3,2,31.19165797,30.70953369,Disūq,2.455,1.092
341,25,5,1,31.18695879,30.71502686,Disūq,4.578,2.329
342,12,5,2,31.17285983,30.68756104,Disūq,25.346,3.848
343,12,6,2,31.18225937,30.71502686,Disūq,13.866,2.802
344,22,33,1,31.19635693,30.72601318,Disūq,5.891,5.513
345,26,8,1,31.19165797,30.72052002,Disūq,4.716,2.064
346,23,2,2,31.18695879,30.72052002,Disūq,7.734,1.689
347,43,1,1,31.19635693,30.74798584,Disūq,3.373,0.612
348,23,8,3,31.18225937,30.72052002,Disūq,9.283,2.596
349,32,1,1,31.17755971,30.72052002,Disūq,3.191,7.288
350,28,1,1,31.15405795,30.68206787,Disūq,5.741,1.439
351,8,3,1,31.14465561,30.68206787,Disūq,29.641,2.785
352,8,2,1,31.13995409,30.68206787,Disūq,35.463,4.251
353,7,1,1,31.13995409,30.68756104,Disūq,36.628,4.888
354,25,1,1,31.13525234,30.68756104,Disūq,8.559,0.903
355,38,1,1,31.16345935,30.72601318,Disūq,6.378,0.564
356,47,8,1,31.15875877,30.73150635,Disūq,10.778,0.634
357,9,2,2,31.16345935,30.75897217,Disūq,19.251,2.663
358,299,1,1,31.15405795,30.74798584,Disūq,1.762,0.009
359,43,5,1,31.14465561,30.74798584,Disūq,4.423,0.657
360,47,1,1,31.116443,30.60516357,Ar Raḩmānīyah,7.249,0.663
361,6,1,1,31.11174008,30.60516357,Ar Raḩmānīyah,34.606,4.685
362,15,2,2,31.12584813,30.62164307,Ar Raḩmānīyah,6.507,1.815
363,16,17,3,31.12584813,30.62713623,Ar Raḩmānīyah,14.221,2.184
364,26,1,1,31.12114568,30.62164307,Ar Raḩmānīyah,14.623,0.733
365,5,3,1,31.10703693,30.59967041,Ar Raḩmānīyah,23.59,4.874
366,31,1,1,31.09292608,30.59417725,Ar Raḩmānīyah,6.062,0.167
367,6,4,2,31.09292608,30.59967041,Ar Raḩmānīyah,39.384,15.447
368,27,1,1,31.10703693,30.61065674,Ar Raḩmānīyah,34.842,21.036
369,28,1,1,31.10703693,30.62713623,Ar Raḩmānīyah,8.375,3.471
370,87,3,2,31.12584813,30.63262939,Ar Raḩmānīyah,17.126,1.63
371,7,2,2,31.12584813,30.63812256,Disūq,27.702,3.019
372,36,38,13,31.12584813,30.64361572,Disūq,16.365,2.451
373,29,33,16,31.12584813,30.64910889,Disūq,15.111,4.299
374,8,1,1,31.12114568,30.64361572,Ar Raḩmānīyah,29.788,3.022
375,22,103,23,31.12114568,30.64910889,Disūq,17.656,3.15
376,5,2,1,31.11174008,30.63812256,Ar Raḩmānīyah,7.543,5.473
377,5,1,1,31.116443,30.64910889,Ar Raḩmānīyah,30.344,3.735
378,20,3,2,31.11174008,30.64361572,Ar Raḩmānīyah,7.356,0.613
379,19,114,10,31.12584813,30.65460205,Disūq,18.489,4.107
380,12,16,4,31.12114568,30.65460205,Disūq,19.971,2.433
381,7,2,2,31.11174008,30.66009521,Ar Raḩmānīyah,19.604,4.376
382,125,4,2,31.11174008,30.66558838,Ar Raḩmānīyah,8.261,3.377
383,115,148,13,31.10703693,30.63812256,Ar Raḩmānīyah,32.169,30.527
384,78,11,6,31.10233354,30.63812256,Ar Raḩmānīyah,19.755,3.147
385,22,54,10,31.10703693,30.64361572,Ar Raḩmānīyah,15.156,4.193
386,17,3,2,31.10703693,30.64910889,Ar Raḩmānīyah,8.305,0.455
387,20,25,5,31.10233354,30.64361572,Ar Raḩmānīyah,17.946,2.995
388,14,29,5,31.10233354,30.64910889,Ar Raḩmānīyah,12.431,1.828
389,9,9,3,31.09762993,30.67108154,Ar Raḩmānīyah,27.78,7.974
